id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
138;113;Rüti ZH;8630;ZH;8.8542758147125;47.2638486501248;de;false
139;113;Tann;8632;ZH;8.84918280236461;47.2682320547612;de;false
140;113;Dürnten;8635;ZH;8.87396887206864;47.2748994703006;de;false
141;113;Wald ZH;8636;ZH;8.89025864101016;47.2711797772854;de;false
143;114;Bauma;8494;ZH;8.92114061308498;47.3596887496435;de;false
144;114;Steg im Tösstal;8496;ZH;8.94624142778055;47.3440948396665;de;false
145;114;Fischenthal;8497;ZH;8.92507725228035;47.3328669867382;de;false
147;115;Bertschikon (Gossau ZH);8614;ZH;8.75702339360129;47.3207808881653;de;false
148;115;Mönchaltorf;8617;ZH;8.73557492032953;47.3095955422479;de;false
149;115;Grüt (Gossau ZH);8624;ZH;8.78212546101696;47.308543935202;de;false
150;115;Gossau ZH;8625;ZH;8.75768398519527;47.3041047247931;de;false
151;115;Ottikon (Gossau ZH);8626;ZH;8.78601560170108;47.2893434522507;de;false
152;115;Grüningen;8627;ZH;8.73701161787328;47.2885516291948;de;false
155;117;Wernetshausen;8342;ZH;8.87770877308292;47.2905896022654;de;false
159;119;Aathal-Seegräben;8607;ZH;8.76735955710045;47.3430956652396;de;false
162;120;Laupen ZH;8637;ZH;8.92978502758878;47.2668441515486;de;false
164;121;Wetzikon ZH;8620;ZH;8.80746555659646;47.3191707746278;de;false
165;121;Wetzikon ZH;8623;ZH;8.82141480688538;47.3321700992224;de;false
166;131;Zürich;8041;ZH;8.51326987191552;47.3223363736806;de;true
168;135;Kilchberg ZH;8802;ZH;8.54531427054734;47.3215852546976;de;false
169;135;Rüschlikon;8803;ZH;8.55433879633919;47.3154623312529;de;false
171;137;Oberrieden;8942;ZH;8.56920948494232;47.2728533499668;de;false
172;138;Richterswil;8805;ZH;8.69592144058797;47.2081214462349;de;false
173;138;Samstagern;8833;ZH;8.67948206168176;47.193790046586;de;false
175;141;Gattikon;8136;ZH;8.55309114122779;47.2782187705214;de;false
176;141;Thalwil;8800;ZH;8.56376162358617;47.2887324201063;de;true
177;151;Erlenbach ZH;8703;ZH;8.59918522368462;47.3039917632152;de;false
179;152;Herrliberg;8704;ZH;8.62923209925679;47.29678536503;de;false
181;153;Hombrechtikon;8634;ZH;8.76586094044544;47.2551890435707;de;false
182;153;Feldbach;8714;ZH;8.78554525747534;47.2416317006964;de;false
183;154;Forch;8127;ZH;8.64889896730369;47.3223737205789;de;false
184;154;Küsnacht ZH;8700;ZH;8.59621410793042;47.3214472088249;de;false
185;155;Oetwil am See;8618;ZH;8.71219609201639;47.2656366885261;de;false
186;155;Männedorf;8708;ZH;8.69678192170926;47.2611810318102;de;false
187;156;Meilen;8706;ZH;8.64604860373953;47.28145988223;de;true
190;158;Stäfa;8712;ZH;8.72881321496272;47.2492561814819;de;false
191;158;Uerikon;8713;ZH;8.7574579800994;47.2379028845072;de;false
